date,hour,price_eur_mwh
2024-10-09,23,46.69
2024-10-09,24,41.13
2024-10-10,1,40.08
2024-10-10,2,40.0
2024-10-10,3,40.0
2024-10-10,4,40.0
2024-10-10,5,44.0
2024-10-10,6,55.01
2024-10-10,7,69.0
2024-10-10,8,91.48
2024-10-10,9,108.8
2024-10-10,10,92.0
2024-10-10,11,69.0
2024-10-10,12,40.29
2024-10-10,13,39.83
2024-10-10,14,40.08
2024-10-10,15,39.83
2024-10-10,16,40.5
2024-10-10,17,55.26
2024-10-10,18,71.78
2024-10-10,19,100.0
2024-10-10,20,129.22
2024-10-10,21,180.0
2024-10-10,22,173.4
2024-10-10,23,120.0
2024-10-10,24,108.8
2024-10-11,1,111.03
2024-10-11,2,99.0
2024-10-11,3,92.0
2024-10-11,4,88.71
2024-10-11,5,84.72
2024-10-11,6,81.37
2024-10-11,7,99.95
2024-10-11,8,106.0
2024-10-11,9,111.04
2024-10-11,10,110.01
2024-10-11,11,90.0
2024-10-11,12,79.9
2024-10-11,13,70.1
2024-10-11,14,58.11
2024-10-11,15,61.95
2024-10-11,16,66.95
2024-10-11,17,70.0
2024-10-11,18,71.35
2024-10-11,19,82.44
2024-10-11,20,100.8
2024-10-11,21,109.01
2024-10-11,22,90.69
2024-10-11,23,81.37
2024-10-11,24,80.57
2024-10-12,1,67.29
2024-10-12,2,57.57
2024-10-12,3,47.96
2024-10-12,4,38.91
2024-10-12,5,38.91
2024-10-12,6,42.63
2024-10-12,7,60.21
2024-10-12,8,61.0
2024-10-12,9,62.97
2024-10-12,10,67.08
2024-10-12,11,69.31
2024-10-12,12,72.5
2024-10-12,13,70.0
2024-10-12,14,69.31
2024-10-12,15,66.83
2024-10-12,16,53.0
2024-10-12,17,53.0
2024-10-12,18,67.08
2024-10-12,19,84.65
2024-10-12,20,92.08
2024-10-12,21,119.93
2024-10-12,22,117.1
2024-10-12,23,105.62
2024-10-12,24,91.61
2024-10-13,1,69.78
2024-10-13,2,62.91
2024-10-13,3,57.0
2024-10-13,4,58.69
2024-10-13,5,55.0
2024-10-13,6,60.87
2024-10-13,7,55.1
2024-10-13,8,64.97
2024-10-13,9,60.0
2024-10-13,10,46.5
2024-10-13,11,35.06
2024-10-13,12,6.99
2024-10-13,13,4.49
2024-10-13,14,0.35
2024-10-13,15,0.35
2024-10-13,16,0.11
2024-10-13,17,6.8
2024-10-13,18,31.28
2024-10-13,19,62.82
2024-10-13,20,93.08
2024-10-13,21,116.97
2024-10-13,22,121.28
2024-10-13,23,102.78
2024-10-13,24,93.56
2024-10-14,1,93.98
2024-10-14,2,85.23
2024-10-14,3,85.75
2024-10-14,4,83.83
2024-10-14,5,85.23
2024-10-14,6,93.74
2024-10-14,7,102.0
2024-10-14,8,122.86
2024-10-14,9,155.0
2024-10-14,10,122.86
2024-10-14,11,111.54
2024-10-14,12,92.5
2024-10-14,13,85.7
2024-10-14,14,78.42
2024-10-14,15,74.16
2024-10-14,16,73.07
2024-10-14,17,71.2
2024-10-14,18,97.46
2024-10-14,19,121.04
2024-10-14,20,161.89
2024-10-14,21,178.61
2024-10-14,22,128.9
2024-10-14,23,100.24
2024-10-14,24,94.8
2024-10-15,1,82.19
2024-10-15,2,79.99
2024-10-15,3,80.0
2024-10-15,4,77.05
2024-10-15,5,69.78
2024-10-15,6,72.0
2024-10-15,7,72.0
2024-10-15,8,91.36
2024-10-15,9,122.28
2024-10-15,10,110.47
2024-10-15,11,92.74
2024-10-15,12,83.05
2024-10-15,13,80.0
2024-10-15,14,79.92
2024-10-15,15,70.16
2024-10-15,16,71.9
2024-10-15,17,82.19
2024-10-15,18,81.0
2024-10-15,19,90.08
2024-10-15,20,105.01
2024-10-15,21,125.89
2024-10-15,22,105.01
2024-10-15,23,90.08
2024-10-15,24,79.26
2024-10-16,1,54.5
2024-10-16,2,47.51
2024-10-16,3,45.0
2024-10-16,4,40.32
2024-10-16,5,40.0
2024-10-16,6,40.0
2024-10-16,7,52.84
2024-10-16,8,49.9
2024-10-16,9,59.55
2024-10-16,10,54.29
2024-10-16,11,30.0
2024-10-16,12,14.16
2024-10-16,13,4.09
2024-10-16,14,3.32
2024-10-16,15,4.0
2024-10-16,16,14.18
2024-10-16,17,30.84
2024-10-16,18,51.81
2024-10-16,19,75.74
2024-10-16,20,83.91
2024-10-16,21,112.08
2024-10-16,22,105.01
2024-10-16,23,83.3
2024-10-16,24,75.74
2024-10-17,1,84.8
2024-10-17,2,76.5
2024-10-17,3,70.12
2024-10-17,4,70.0
2024-10-17,5,60.0
2024-10-17,6,54.08
2024-10-17,7,63.38
2024-10-17,8,84.34
2024-10-17,9,83.93
2024-10-17,10,82.27
2024-10-17,11,55.0
2024-10-17,12,7.0
2024-10-17,13,3.32
2024-10-17,14,3.32
2024-10-17,15,1.51
2024-10-17,16,0.44
2024-10-17,17,0.44
2024-10-17,18,3.32
2024-10-17,19,49.97
2024-10-17,20,82.27
2024-10-17,21,82.27
2024-10-17,22,72.59
2024-10-17,23,71.08
2024-10-17,24,68.06
2024-10-18,1,50.1
2024-10-18,2,45.62
2024-10-18,3,38.06
2024-10-18,4,30.3
2024-10-18,5,51.21
2024-10-18,6,51.21
2024-10-18,7,57.84
2024-10-18,8,75.0
2024-10-18,9,99.5
2024-10-18,10,75.0
2024-10-18,11,54.5
2024-10-18,12,54.08
2024-10-18,13,54.08
2024-10-18,14,53.83
2024-10-18,15,51.21
2024-10-18,16,46.69
2024-10-18,17,46.13
2024-10-18,18,51.21
2024-10-18,19,81.89
2024-10-18,20,109.56
2024-10-18,21,103.25
2024-10-18,22,93.89
2024-10-18,23,81.2
2024-10-18,24,71.08
2024-10-19,1,65.0
2024-10-19,2,62.14
2024-10-19,3,51.21
2024-10-19,4,50.47
2024-10-19,5,50.47
2024-10-19,6,47.5
2024-10-19,7,54.78
2024-10-19,8,62.4
2024-10-19,9,70.0
2024-10-19,10,64.53
2024-10-19,11,46.42
2024-10-19,12,35.0
2024-10-19,13,30.24
2024-10-19,14,17.67
2024-10-19,15,13.17
2024-10-19,16,5.79
2024-10-19,17,5.05
2024-10-19,18,22.32
2024-10-19,19,44.13
2024-10-19,20,70.0
2024-10-19,21,82.88
2024-10-19,22,91.5
2024-10-19,23,80.18
2024-10-19,24,73.33
2024-10-20,1,56.0
2024-10-20,2,54.85
2024-10-20,3,54.85
2024-10-20,4,54.85
2024-10-20,5,54.6
2024-10-20,6,54.6
2024-10-20,7,54.85
2024-10-20,8,54.85
2024-10-20,9,55.27
2024-10-20,10,54.85
2024-10-20,11,54.6
2024-10-20,12,0.08
2024-10-20,13,3.33
2024-10-20,14,3.33
2024-10-20,15,0.02
2024-10-20,16,0.02
2024-10-20,17,0.04
2024-10-20,18,8.64
2024-10-20,19,64.82
2024-10-20,20,99.87
2024-10-20,21,125.01
2024-10-20,22,125.89
2024-10-20,23,100.23
2024-10-20,24,95.56
2024-10-21,1,92.0
2024-10-21,2,85.23
2024-10-21,3,74.61
2024-10-21,4,68.41
2024-10-21,5,64.0
2024-10-21,6,70.0
2024-10-21,7,90.71
2024-10-21,8,105.01
2024-10-21,9,125.89
2024-10-21,10,103.9
2024-10-21,11,88.77
2024-10-21,12,81.5
2024-10-21,13,73.29
2024-10-21,14,69.0
2024-10-21,15,67.04
2024-10-21,16,67.88
2024-10-21,17,70.47
2024-10-21,18,90.22
2024-10-21,19,103.41
2024-10-21,20,158.4
2024-10-21,21,181.0
2024-10-21,22,126.39
2024-10-21,23,103.37
2024-10-21,24,95.56
2024-10-22,1,80.85
2024-10-22,2,70.0
2024-10-22,3,63.79
2024-10-22,4,69.4
2024-10-22,5,60.0
2024-10-22,6,70.0
2024-10-22,7,75.97
2024-10-22,8,102.17
2024-10-22,9,123.02
2024-10-22,10,105.5
2024-10-22,11,93.02
2024-10-22,12,55.4
2024-10-22,13,53.54
2024-10-22,14,50.24
2024-10-22,15,53.54
2024-10-22,16,53.54
2024-10-22,17,52.5
2024-10-22,18,74.99
2024-10-22,19,95.91
2024-10-22,20,124.71
2024-10-22,21,112.02
2024-10-22,22,100.0
